2026-06-29 15:52:23.160 [main] INFO  rogue.model.domain.entities.Level - === Начало генерации уровня 1 ===
2026-06-29 15:52:23.162 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 0
2026-06-29 15:52:23.162 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 1
2026-06-29 15:52:23.164 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 2
2026-06-29 15:52:23.165 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 3
2026-06-29 15:52:23.165 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 4
2026-06-29 15:52:23.166 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 5
2026-06-29 15:52:23.166 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 6
2026-06-29 15:52:23.167 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 7
2026-06-29 15:52:23.167 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 8
2026-06-29 15:52:23.167 [main] INFO  rogue.model.domain.entities.passages.Passages - Начало генерации проходов
2026-06-29 15:52:29.034 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Вежливая просьба
2026-06-29 15:52:47.901 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Свиток тайных лесных знаний
2026-06-29 15:52:53.858 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Салат из огурцов и помидоров
2026-06-29 15:52:59.325 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Свиток закрытых наречий
2026-06-29 15:53:06.516 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Свиток закрытых наречий
2026-06-29 15:53:24.742 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Свиток осенней тени
2026-06-29 15:53:25.100 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:25.100 [main] INFO  rogue.model.domain.entities.characters.Player - Пропущена атака в первый ход удара вампира
2026-06-29 15:53:25.101 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 63 при шансах 53/100
2026-06-29 15:53:25.309 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:25.309 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 24 при шансах 46/100
2026-06-29 15:53:25.309 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 42
2026-06-29 15:53:25.309 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет 13.000000000000007
2026-06-29 15:53:25.310 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 73 при шансах 53/100
2026-06-29 15:53:25.480 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:25.480 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 21 при шансах 46/100
2026-06-29 15:53:25.480 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 75
2026-06-29 15:53:25.480 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет -61.99999999999999
2026-06-29 15:53:25.481 [main] INFO  rogue.model.domain.entities.characters.Player - Монстр убит class rogue.model.domain.entities.characters.communicators.Student
2026-06-29 15:53:25.481 [main] INFO  rogue.model.domain.entities.characters.Player - Поднято 17 золота
2026-06-29 15:53:31.404 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:31.404 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 11 при шансах 86/100
2026-06-29 15:53:31.404 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 78
2026-06-29 15:53:31.404 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет 32.000000000000014
2026-06-29 15:53:31.404 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 70 при шансах 13/100
2026-06-29 15:53:31.745 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:31.745 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 28 при шансах 86/100
2026-06-29 15:53:31.745 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 50
2026-06-29 15:53:31.745 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет -17.999999999999986
2026-06-29 15:53:31.745 [main] INFO  rogue.model.domain.entities.characters.Player - Монстр убит class rogue.model.domain.entities.characters.communicators.Communicator
2026-06-29 15:53:31.745 [main] INFO  rogue.model.domain.entities.characters.Player - Поднято 3 золота
2026-06-29 15:53:35.319 [main] INFO  rogue.model.domain.entities.Level - === Начало генерации уровня 2 ===
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 0
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 1
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 2
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 3
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 4
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 5
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 6
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 7
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 8
2026-06-29 15:53:35.320 [main] INFO  rogue.model.domain.entities.passages.Passages - Начало генерации проходов
2026-06-29 15:53:36.827 [main] INFO  rogue.model.domain.entities.Level - === Начало генерации уровня 3 ===
2026-06-29 15:53:36.827 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 0
2026-06-29 15:53:36.827 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 1
2026-06-29 15:53:36.827 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 2
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 3
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 4
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 5
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 6
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 7
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 8
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.passages.Passages - Начало генерации проходов
2026-06-29 15:53:43.849 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Неразборчивая, но приятная похвала
